esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2570.0,,8007.0,75.5,1.65,-4.17,103.4,1.5,106.37,-0.085,14.35,908.5375,89.0,513.96,ESN1,2026-04-23 00:48:34,2026-04-23,00:48:34,2581,21,44.98399999999992,5070.98,0.8006000000000029,-10.757999999999996,14.533999999999978,-0.6518000000000015,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2571.0,,7416.0,82.2,1.75,-4.14,107.1,1.75,107.33,-0.155,15.05,919.2875,90.0,479.11,ESN1,2026-04-23 17:58:29,2026-04-23,17:58:29,2582,20,55.73399999999992,4479.98,1.7605999999999966,-4.057999999999993,18.233999999999966,0.0481999999999995,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2572.0,16.8224,2441.0,93.3,3.3,-1.5,87.0,2.8,100.01,-0.015,5.42,714.6875,270.0,184.87,ESN1,2026-04-23 18:23:50,2026-04-23,18:23:50,2582,20,-11.238109756097517,138.17073170731692,-0.1185365853658311,4.17073170731706,10.163414634146337,0.2965853658536588,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2572.0,,6669.0,69.3,2.2,-3.735,102.0,1.0,103.47,-0.09,14.79,834.7875,92.0,452.31,ESN1,2026-04-24 00:44:28,2026-04-24,00:44:28,2583,19,-28.76600000000008,3732.98,-2.099400000000003,-16.958,13.133999999999972,-0.211800000000002,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2573.0,,6403.0,77.9,2.4,-3.48,105.2,0.05,104.84,-0.055,15.07,858.7,92.0,432.29,ESN1,2026-04-25 00:31:53,2026-04-25,00:31:53,2584,18,-4.853500000000054,3466.98,-0.7293999999999983,-8.35799999999999,16.333999999999975,0.0681999999999991,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2574.0,14.0607,2342.0,94.0,2.4,-1.39,85.7,2.3,100.06,-0.015,4.93,726.6375,258.0,174.71,ESN1,2026-04-25 01:02:52,2026-04-25,01:02:52,2584,18,0.7118902439025305,39.17073170731692,-0.0685365853658339,4.870731707317063,8.863414634146338,-0.1934146341463414,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2574.0,,6719.0,75.9,2.05,-3.865,98.3,1.35,103.48,-0.085,15.03,833.275,92.0,459.75,ESN1,2026-04-25 05:10:18,2026-04-25,05:10:18,2585,17,-30.27850000000012,3782.98,-2.0893999999999977,-10.35799999999999,9.433999999999967,0.0281999999999982,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2575.0,16.1688,2295.0,85.0,2.85,-1.42,87.7,1.6,98.83,-0.02,4.8,707.925,260.0,172.51,ESN1,2026-04-25 05:38:01,2026-04-25,05:38:01,2585,17,-18.00060975609756,-7.829268292683082,-1.298536585365838,-4.129268292682937,10.863414634146338,-0.3234146341463413,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2575.0,,7025.0,87.9,1.8,-4.895,96.3,-0.2,106.18,-0.135,14.99,888.5625,95.0,462.75,ESN1,2026-04-25 10:55:50,2026-04-25,10:55:50,2586,16,25.0089999999999,4088.98,0.6106000000000051,1.64200000000001,7.433999999999969,-0.0118000000000009,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2576.0,17.6645,2251.0,82.4,2.6,-1.42,88.7,1.5,98.58,-0.02,4.7,706.45,251.0,168.32,ESN1,2026-04-25 12:38:31,2026-04-25,12:38:31,2586,16,-19.47560975609747,-51.82926829268308,-1.548536585365838,-6.729268292682932,11.863414634146338,-0.4234146341463409,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2576.0,,6482.0,74.5,1.9,-4.095,96.3,0.9,101.94,-0.155,14.86,805.6625,92.0,451.57,ESN1,2026-04-25 17:50:37,2026-04-25,17:50:37,2587,15,-57.89100000000008,3545.98,-3.629400000000004,-11.757999999999996,7.433999999999969,-0.1418000000000017,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2577.0,,6027.0,82.3,2.15,-3.485,100.3,0.55,104.63,-0.07,14.95,847.425,90.0,412.42,ESN1,2026-04-26 05:38:03,2026-04-26,05:38:03,2588,14,-16.128500000000145,3090.98,-0.9394000000000062,-3.9579999999999984,11.433999999999967,-0.0518000000000018,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2578.0,13.8229,2085.0,82.2,2.5,-1.31,89.0,2.1,98.28,-0.025,4.56,696.9625,252.0,157.59,ESN1,2026-04-26 08:16:44,2026-04-26,08:16:44,2588,14,-28.963109756097538,-217.82926829268308,-1.848536585365835,-6.929268292682934,12.163414634146337,-0.5634146341463415,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2578.0,,6522.0,85.9,1.15,-5.425,94.3,0.25,104.39,-0.175,15.15,849.7375,88.0,441.94,ESN1,2026-04-26 10:46:07,2026-04-26,10:46:07,2589,13,-13.816000000000145,3585.98,-1.1794000000000011,-0.3579999999999899,5.433999999999969,0.1481999999999992,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2579.0,21.0621,2193.0,87.0,2.8,-1.33,86.8,2.05,99.18,-0.02,4.37,723.6125,248.0,161.99,ESN1,2026-04-26 12:00:29,2026-04-26,12:00:29,2589,13,-2.3131097560975604,-109.82926829268308,-0.9485365853658294,-2.129268292682937,9.963414634146332,-0.753414634146341,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2579.0,,632.0,89.6,4.1,-0.295,56.9,1.15,77.34,-0.01,11.31,537.9,231.0,51.85,ESN1,2026-04-26 13:59:06,2026-04-26,13:59:06,2589,13,-188.02560975609757,-1670.829268292683,-22.788536585365836,0.4707317073170571,-19.936585365853663,6.186585365853659,1,0
