esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,394.0,,1612.0,88.7,-11.65,3.26,94.6,4.5,104.29,0.14,14.6,841.6375,90.0,411.38,ESN17,2024-06-06 02:47:47,2024-06-06,02:47:47,1930,2219,21.222750000000133,-447.5,0.8924000000000092,6.677999999999997,5.602000000000004,-0.3690000000000015,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,395.0,,1594.0,88.0,-12.45,3.43,91.2,1.45,104.14,0.12,14.92,849.275,93.0,469.73,ESN17,2024-06-06 09:28:33,2024-06-06,09:28:33,1931,2218,28.860250000000065,-465.5,0.7424000000000035,5.977999999999994,2.2020000000000124,-0.0490000000000012,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,396.0,,3267.0,95.8,-14.0,1.35,93.1,-0.3,108.06,0.05,14.88,927.575,88.0,453.66,ESN17,2024-06-06 15:37:29,2024-06-06,15:37:29,1932,2217,107.16025000000012,1207.5,4.662400000000005,13.777999999999992,4.102000000000004,-0.0890000000000004,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,397.0,,1750.0,89.7,-11.4,3.025,87.6,0.55,103.82,0.135,14.96,843.525,91.0,461.68,ESN17,2024-06-06 22:12:41,2024-06-06,22:12:41,1933,2216,23.110250000000065,-309.5,0.4223999999999961,7.677999999999997,-1.397999999999996,-0.0090000000000003,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,398.0,,1504.0,96.6,-11.9,2.655,87.9,1.8,104.28,0.085,14.61,842.6,89.0,407.98,ESN17,2024-06-07 04:51:09,2024-06-07,04:51:09,1934,2215,22.18525000000011,-555.5,0.8824000000000041,14.577999999999989,-1.0979999999999848,-0.3590000000000017,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,399.0,,1464.0,98.9,-13.4,3.375,89.7,0.7,105.81,0.11,14.75,869.8,92.0,413.16,ESN17,2024-06-07 06:34:40,2024-06-07,06:34:40,1935,2214,49.38525000000004,-595.5,2.412400000000005,16.878,0.7020000000000124,-0.2190000000000012,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,400.0,,1794.0,92.1,-13.7,2.075,89.8,0.5,105.84,0.115,14.61,874.9375,91.0,405.6,ESN17,2024-06-07 09:07:18,2024-06-07,09:07:18,1936,2213,54.52275000000009,-265.5,2.4424000000000063,10.077999999999989,0.8020000000000067,-0.3590000000000017,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,401.0,,1673.0,93.9,-12.5,2.215,85.4,-1.9,103.58,0.085,14.88,832.875,94.0,428.45,ESN17,2024-06-07 14:41:06,2024-06-07,14:41:06,1937,2212,12.460250000000087,-386.5,0.1824000000000012,11.878,-3.5979999999999848,-0.0890000000000004,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,402.0,,1637.0,96.2,-12.85,2.745,89.4,0.05,105.34,0.12,14.59,861.875,90.0,411.73,ESN17,2024-06-07 20:53:17,2024-06-07,20:53:17,1938,2211,41.46025000000009,-422.5,1.9424000000000063,14.177999999999995,0.4020000000000152,-0.3790000000000013,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,404.0,,1772.0,89.9,-13.15,2.925,89.6,0.55,104.97,0.12,14.59,859.0875,87.0,409.09,ESN17,2024-06-08 08:02:43,2024-06-08,08:02:43,1940,2209,38.67275000000007,-287.5,1.5724000000000018,7.878,0.6020000000000039,-0.3790000000000013,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,405.0,,3472.0,87.4,-14.35,3.695,91.6,0.8,107.72,0.165,14.1,937.825,91.0,513.71,ESN17,2024-06-08 14:28:13,2024-06-08,14:28:13,1941,2208,117.41025000000012,1412.5,4.322400000000002,5.378,2.602000000000004,-0.8690000000000015,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,406.0,,1552.0,91.6,-11.25,2.305,91.5,2.3,104.58,0.08,14.61,849.2,89.0,410.0,ESN17,2024-06-08 21:03:02,2024-06-08,21:03:02,1942,2207,28.785250000000133,-507.5,1.1824000000000012,9.577999999999989,2.502000000000009,-0.3590000000000017,0,1
